address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
1855 Sacramento St APT 6,1,2,1222,3/12/2015,810000,37.790911,-122.423374,Pacific Heights,5,Condominium,1916,94109
1945 Washington St APT 604,2,2,983,3/10/2015,1050000,37.792472,-122.425281,Pacific Heights,4,Condominium,1987,94109
2253 Franklin St,3.5,4,2564,2/25/2015,2500000,37.79523,-122.425335,Pacific Heights,6,Condominium,1900,94109
1925 Pacific Ave APT 6,2,3,1616,2/2/2015,1800000,37.794105,-122.42698,Pacific Heights,6,Condominium,1918,94109
1770 Pacific Ave APT 301,2,2,1500,1/8/2015,1025000,37.794927,-122.424508,Pacific Heights,5,Condominium,1902,94109
1945 Washington St APT 406,1,1,655,1/2/2015,625000,37.792472,-122.425281,Pacific Heights,3,Condominium,1987,94109
1896 Pacific Ave APT 802,2.5,2,2272,12/17/2014,2735000,37.794706,-122.426347,Pacific Heights,6,Condominium,1924,94109
1835 Franklin St APT 601,2,2,1550,11/21/2014,1611500,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
2040 Jackson St,4,7,4903,11/21/2014,14000000,37.793474,-122.428815,Pacific Heights,11,SingleFamily,1929,94109
1770 Pacific Ave APT 103,2,2,1500,11/25/2015,1760000,37.794927,-122.424508,Pacific Heights,8,Condominium,1902,94109
1770 Pacific Ave APT 203,2,2,1500,10/31/2014,1185000,37.794927,-122.424508,Pacific Heights,5,Condominium,1902,94109
1950 Gough St APT 406,1,1,1000,10/30/2014,1025000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
1855 Sacramento St APT 3,1,1,1109,10/22/2014,790000,37.790911,-122.423374,Pacific Heights,4,Condominium,1916,94109
1880 Jackson St APT 105,1,1,1115,10/21/2014,1155000,37.793825,-122.426135,Pacific Heights,5,SingleFamily,1930,94109
1880 Jackson St APT 601,2,2,1752,10/21/2014,1825000,37.793825,-122.426135,Pacific Heights,5,Condominium,1930,94109
1855 Sacramento St APT 9,1,2,1164,10/16/2014,815000,37.790911,-122.423374,Pacific Heights,4,Condominium,1916,94109
1701 Jackson St APT 303,2,2,1109,9/25/2014,1130000,37.79343,-122.423435,Pacific Heights,4,Condominium,2001,94109
1924 Washington St # 1,5,4,3500,9/23/2014,2681000,37.792938,-122.425071,Pacific Heights,10,MultiFamily2To4,1924,94109
1775 Broadway # 17,1,1,893,8/29/2014,795000,37.795127,-122.426213,Pacific Heights,3,Condominium,1925,94109
1865 Clay St APT 3,2,3,1670,8/27/2014,1900000,37.791759,-122.423812,Pacific Heights,6,Condominium,1914,94109
1945 Washington St APT 408,2,2,917,8/21/2014,950000,37.792472,-122.425281,Pacific Heights,4,Condominium,1987,94109
1701 Jackson St APT 205,1,1,681,8/13/2014,745000,37.79343,-122.423435,Pacific Heights,3,Condominium,2001,94109
1865 Clay St APT 2,2,3,1667,8/8/2014,1750000,37.791759,-122.423812,Pacific Heights,6,Condominium,1914,94109
2077 Jackson St APT 205,1,1,640,8/5/2014,683500,37.792902,-122.429119,Pacific Heights,2,SingleFamily,1959,94109
1895 Pacific Ave APT 203,1,1,1044,7/30/2014,825000,37.794168,-122.426243,Pacific Heights,4,Condominium,1931,94109
2111 Franklin St APT 9,1,1,1118,7/28/2014,1000000,37.793929,-122.424924,Pacific Heights,5,Condominium,1922,94109
1998 Broadway APT 607,2,2,1030,7/24/2014,1140000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1945 Washington St APT 606,2,2,975,7/3/2014,920000,37.792472,-122.425281,Pacific Heights,4,Condominium,1987,94109
2040 Franklin St APT 1205,2,2,1268,7/3/2014,1175000,37.793519,-122.424316,Pacific Heights,5,Condominium,1966,94109
2090 Pacific Ave APT 603,1,1,1437,6/30/2014,1200000,37.79431,-122.42961,Pacific Heights,4,Condominium,1928,94109
1948 Pacific Ave,3.5,6,7360,6/30/2014,5000000,37.794558,-122.427456,Pacific Heights,14,SingleFamily,1887,94109
2090 Pacific Ave APT 304,2,2,1907,6/16/2014,1800000,37.79431,-122.42961,Pacific Heights,5,Condominium,1928,94109
1965 Clay St,1,1,964,5/29/2014,915000,37.791569,-122.425289,Pacific Heights,4,Condominium,1938,94109
1818 Broadway APT 102,1,1,575,5/21/2014,656000,37.795507,-122.427648,Pacific Heights,3,Condominium,1969,94109
2342 Octavia St,3.5,4,2857,5/21/2014,3700000,37.793922,-122.427853,Pacific Heights,7,SingleFamily,1939,94109
2002 Pacific Ave APT 4,3.5,3,3291,1/22/2016,4200000,37.794429,-122.428513,Pacific Heights,7,Condominium,1961,94109
2016 Pacific Ave APT 401,3,2,1154,5/1/2014,1301000,37.794364,-122.428918,Pacific Heights,5,Condominium,1989,94109
1800 Washington St APT 414,1,1,476,4/25/2014,550000,37.79343,-122.423435,Pacific Heights,1,Condominium,2001,94109
2111 Franklin St APT 4,2,2,1565,4/22/2014,1180000,37.79393,-122.424935,Pacific Heights,5,SingleFamily,1922,94109
1818 Broadway APT 206,1,1,950,4/21/2014,890000,37.795507,-122.427648,Pacific Heights,3,Condominium,1969,94109
1999 Broadway APT 62,3,3,2200,4/15/2014,1975000,37.794665,-122.429717,Pacific Heights,6,Condominium,1927,94109
1770 Pacific Ave APT 302,2,2,1500,4/10/2014,1080000,37.794927,-122.424508,Pacific Heights,5,Cooperative,1904,94109
1701 Jackson St APT 409,2,2,1041,8/19/2015,1300000,37.79343,-122.423435,Pacific Heights,4,Condominium,2001,94109
1885 Jackson St APT 402,2,2,900,3/5/2014,850000,37.793326,-122.42579,Pacific Heights,4,Condominium,1962,94109
1998 Broadway APT 706,2,2,1170,2/6/2014,1126125,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
2090 Pacific Ave APT 702,1,1,1501,2/4/2014,1290000,37.79431,-122.42961,Pacific Heights,4,Condominium,1928,94109
1701 Jackson St APT 601,2,2,1058,1/21/2014,950000,37.793709,-122.423446,Pacific Heights,5,Condominium,2001,94109
1800 Washington St APT 112,1,1,796,12/31/2013,722000,37.79343,-122.423435,Pacific Heights,4,Condominium,2001,94109
1945 Washington St APT 507,2,2,974,12/19/2013,803000,37.792472,-122.425281,Pacific Heights,4,Condominium,1987,94109
1701 Jackson St APT 309,2,2,1041,12/17/2013,1000000,37.79343,-122.423435,Pacific Heights,4,Condominium,2001,94109
1701 Jackson St APT 206,2,2,1108,11/8/2013,825000,37.79343,-122.423435,Pacific Heights,4,Condominium,2008,94109
1835 Franklin St APT 601,2,2,1550,11/21/2014,1611500,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1870 Jackson St APT 702,3,3,1900,10/11/2013,1700000,37.79386,-122.425865,Pacific Heights,6,Condominium,1931,94109
1999 Broadway APT 21,3,3,2200,10/11/2013,2050000,37.794665,-122.429717,Pacific Heights,6,Condominium,1927,94109
1945 Washington St APT 203,2,2,943,10/9/2013,915000,37.792472,-122.425281,Pacific Heights,4,Condominium,1987,94109
2090 Pacific Ave APT 301,2,2,1850,9/27/2013,1500000,37.79431,-122.42961,Pacific Heights,5,Condominium,1928,94109
2064 Jackson St,2.5,3,2846,9/13/2013,5710000,37.793443,-122.429062,Pacific Heights,7,Condominium,1909,94109
1945 Franklin St,4,6,4837,8/26/2013,2525000,37.792517,-122.424811,Pacific Heights,13,SingleFamily,1900,94109
1835 Franklin St APT 402,2,2,1500,8/16/2013,920000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1998 Broadway APT 804,2,2,980,8/9/2013,1200000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
2040 Franklin St APT 502,1.5,1,1018,7/31/2013,537500,37.793519,-122.424316,Pacific Heights,4,Condominium,1966,94109
1835 Franklin St APT 103,2,2,1400,7/30/2013,840000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1970 Sacramento St APT 102,1.5,2,1382,7/29/2013,980000,37.791213,-122.425281,Pacific Heights,6,Condominium,1950,94109
1998 Broadway APT 1605,1,1,725,6/30/2015,930000,37.795277,-122.429787,Pacific Heights,3,SingleFamily,1964,94109
2171 Sacramento St APT 4,1,1,610,7/12/2013,625000,37.790253,-122.428515,Pacific Heights,4,Condominium,1970,94109
2062 Jackson St,2.5,3,2028,7/9/2013,4000000,37.793443,-122.429062,Pacific Heights,6,Condominium,1909,94109
2060 Jackson St,3.5,3,2578,7/2/2013,3995000,37.793441,-122.429061,Pacific Heights,6,Condominium,1909,94109
2243 Franklin St,2,2,1463,2/5/2016,1950000,37.795139,-122.425309,Pacific Heights,7,Condominium,1900,94109
2151 Sacramento St APT 1,1,1,765,5/15/2013,100000,37.790291,-122.428215,Pacific Heights,3,Condominium,1920,94109
2145 Franklin St APT 5,2,2,1810,4/19/2013,970000,37.794351,-122.425024,Pacific Heights,4,Condominium,1917,94109
1880 Jackson St APT 105,1,1,1115,10/21/2014,1155000,37.793825,-122.426135,Pacific Heights,5,SingleFamily,1930,94109
1919 Sacramento St,4.5,5,5417,4/16/2013,3900000,37.790683,-122.425179,Pacific Heights,17,SingleFamily,1890,94109
2040 Franklin St APT 507,1,1,680,4/15/2013,900000,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
1998 Broadway APT 1203,1,1,775,3/29/2013,725000,37.795275,-122.4298,Pacific Heights,3,Condominium,1964,94109
1895 Pacific Ave APT 405,1,1,1115,3/29/2013,825000,37.794168,-122.426243,Pacific Heights,4,Condominium,1931,94109
1998 Broadway APT 506,2,2,1170,3/29/2013,940000,37.795275,-122.4298,Pacific Heights,5,SingleFamily,1964,94109
2040 Franklin St APT 702,1.5,1,1000,3/20/2013,620000,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
1950 Gough St APT 203,1,0,600,3/8/2013,495000,37.791558,-122.425677,Pacific Heights,3,Condominium,1926,94109
1745 Broadway,2.5,3,2228,3/4/2013,1600000,37.795183,-122.425799,Pacific Heights,8,Condominium,1918,94109
1870 Jackson St APT 501,2,1,1270,2/22/2013,750000,37.79386,-122.425865,Pacific Heights,5,Condominium,1931,94109
1870 Jackson St APT 203,3,3,1800,2/21/2013,1495000,37.79386,-122.425865,Pacific Heights,6,Condominium,1931,94109
1958-1960 Sacramento St,4.5,4,4560,1/31/2013,2470000,37.791227,-122.42517,Pacific Heights,16,SingleFamily,1905,94109
2040 Franklin St APT 1204,1,1,900,1/18/2013,822500,37.793519,-122.424316,Pacific Heights,3,Condominium,1966,94109
1760 Pacific Ave APT 7,2,3,1684,12/14/2012,1275000,37.794951,-122.424319,Pacific Heights,6,Condominium,1905,94109
2077 Jackson St # 18,1,1,640,12/10/2012,537000,37.7929,-122.429125,Pacific Heights,2,Condominium,1959,94109
2111 Franklin St APT 6,2,3,1699,12/7/2012,1195000,37.79393,-122.424935,Pacific Heights,5,Condominium,1922,94109
1835 Franklin St APT 201,2,2,1612,1/19/2016,1240000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1701 Jackson St APT 106,2,2,1108,11/29/2012,810000,37.79343,-122.423435,Pacific Heights,4,Condominium,2001,94109
1950 Gough St APT 201,1.5,2,1210,11/29/2012,965000,37.791558,-122.425677,Pacific Heights,4,Condominium,1926,94109
1701 Jackson St APT 302,1,1,743,10/10/2012,625000,37.79343,-122.423435,Pacific Heights,3,Condominium,2001,94109
2171 Sacramento St APT 2,1,2,950,10/5/2012,719000,37.790253,-122.428515,Pacific Heights,4,Condominium,1970,94109
1870 Jackson St APT 303,2.5,2,1800,9/14/2012,1385000,37.79386,-122.425865,Pacific Heights,6,Condominium,1931,94109
1998 Broadway APT 705,3,3,1390,9/12/2012,1310000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1998 Broadway APT 601,2,2,1040,9/7/2012,755000,37.795275,-122.4298,Pacific Heights,5,Condominium,1964,94109
1835 Franklin St APT 1001,2,2,1550,11/27/2012,930000,37.791564,-122.424608,Pacific Heights,4,Condominium,1965,94109
1925 Pacific Ave APT 4,2,3,1616,8/30/2012,1300000,37.794105,-122.42698,Pacific Heights,6,Condominium,1918,94109
2151 Sacramento St APT 4,4,4,2528,8/24/2012,2150000,37.790291,-122.428215,Pacific Heights,9,Condominium,1920,94109
1770 Pacific Ave APT 101,1,2,1200,8/22/2012,725000,37.794927,-122.424508,Pacific Heights,4,Condominium,1902,94109
1885 Jackson St APT 301,2,2,885,8/17/2012,775000,37.793326,-122.42579,Pacific Heights,4,Condominium,1962,94109
1701 Jackson St APT 408,2,2,1072,8/16/2012,849000,37.79343,-122.423435,Pacific Heights,4,MultiFamily2To4,2001,94109
1818 Broadway APT 204,1,1,550,8/6/2012,559000,37.795507,-122.427648,Pacific Heights,3,Condominium,1969,94109
1951 Jackson St,3,3,1906,8/6/2012,1900000,37.79325,-122.42713,Pacific Heights,6,Condominium,1912,94109
1870 Jackson St APT 204,5,3,1958,7/31/2012,1325000,37.79386,-122.425865,Pacific Heights,6,Condominium,1931,94109
2243 Franklin St,2,2,1463,2/5/2016,1950000,37.795139,-122.425309,Pacific Heights,7,Condominium,1900,94109
2919 Pacific Ave APT 6,2,2,1125,2/10/2016,1457000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,94115
2105 Buchanan St APT 6,2,3,1700,2/5/2016,1770000,37.789597,-122.430787,Pacific Heights,5,Condominium,1921,94115
2200 Sacramento St APT 901,2,1,952,1/15/2016,1125000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
2299 Sacramento St APT 3,1,2,1406,1/15/2016,1150000,37.790011,-122.43048,Pacific Heights,5,Condominium,1913,94115
2470 Broadway St,5,5,3851,1/13/2016,6500000,37.794209,-122.437789,Pacific Heights,13,SingleFamily,1910,94115
2151 Laguna St # 2,2,3,2624,1/4/2016,4500000,37.791114,-122.429586,Pacific Heights,7,Condominium,1919,94115
2311 Scott St APT 1,2,3,1986,12/29/2015,2720000,37.79137,-122.439704,Pacific Heights,7,MultiFamily2To4,1965,94115
2801 Jackson St # 12,1,2,1330,12/24/2015,1418000,37.791415,-122.441445,Pacific Heights,5,Condominium,1906,94115
3100 Washington St #6,1,1,808,12/22/2015,825000,37.79053,-122.444565,Pacific Heights,3,Condominium,1964,94115
3016 Sacramento St,1.5,2,1408,12/22/2015,1853000,37.78897,-122.442995,Pacific Heights,5,Condominium,1890,94115
2820 Jackson St,3.5,5,3212,12/14/2015,4000000,37.791799,-122.44168,Pacific Heights,12,SingleFamily,1900,94115
2864 Sacramento St,2,3,1768,12/10/2015,1510000,37.789343,-122.440047,Pacific Heights,8,SingleFamily,1900,94115
46 Presidio Ave,4,4,2750,11/25/2015,3900000,37.79125,-122.447325,Pacific Heights,9,SingleFamily,1916,94115
2780 Broadway St,6,5,6800,11/25/2015,17100000,37.79358,-122.442803,Pacific Heights,13,SingleFamily,1962,94115
2921 Washington St APT 5,1,1,1070,11/23/2015,1000000,37.790535,-122.441409,Pacific Heights,4,Condominium,1916,94115
2955 Pacific Ave,2,3,2160,11/16/2015,3650000,37.7919,-122.443975,Pacific Heights,6,Condominium,1995,94115
2209 Pacific Ave,8.5,5,5894,11/5/2015,9950000,37.793434,-122.431918,Pacific Heights,11,SingleFamily,1915,94115
2614 Buchanan St APT 4,1,0,496,10/30/2015,435000,37.794315,-122.43125,Pacific Heights,2,Condominium,1900,94115
2921 Washington St APT 6,1,1,1070,10/23/2015,1250000,37.790535,-122.441409,Pacific Heights,5,Condominium,1916,94115
2201 Sacramento St PH 601,2,2,1498,10/22/2015,2000000,37.7902,-122.429285,Pacific Heights,5,Condominium,1928,94115
2317 Webster St,3,4,2127,10/19/2015,2825000,37.792332,-122.433119,Pacific Heights,7,SingleFamily,1878,94115
2200 Pacific Ave APT 6D,2,2,1850,9/16/2015,1700000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
2869 Clay St,2,3,1864,9/4/2015,1905000,37.789898,-122.440223,Pacific Heights,7,Condominium,1900,94115
2121 Scott St,1.5,2,1550,8/14/2015,1950000,37.789514,-122.43929,Pacific Heights,4,Condominium,1960,94115
3100 Washington St # 12,1,1,807,7/31/2015,825000,37.79053,-122.444565,Pacific Heights,3,Condominium,1964,94115
2542 Sacramento St APT 102,1,1,650,7/23/2015,800000,37.78999,-122.434985,Pacific Heights,3,Condominium,1964,94115
2121 Laguna St # 700,2,2,818,7/17/2015,880000,37.79094,-122.42956,Pacific Heights,4,Condominium,1960,94115
3101 Clay St APT 2,1,1,933,7/15/2015,1155000,37.789287,-122.444385,Pacific Heights,4,MultiFamily2To4,1924,94115
2249 Clay St # 1,3,3,1960,7/15/2015,2532000,37.790965,-122.430049,Pacific Heights,9,Condominium,1934,94115
25 Normandie Ter,4,4,3773,7/2/2015,6500000,37.793941,-122.441018,Pacific Heights,9,SingleFamily,1938,94115
2800 California St # 402,1,2,800,9/18/2015,407500,37.78829,-122.44083,Pacific Heights,4,Condominium,1987,94115
2259 Clay St,3,3,2613,6/18/2015,3800000,37.790944,-122.430228,Pacific Heights,9,Condominium,1936,94115
3015 Pacific Ave,6,7,5000,6/17/2015,12000000,37.791777,-122.444999,Pacific Heights,12,SingleFamily,1912,94115
2974 Pacific Ave,1.5,1,875,6/15/2015,3700000,37.792404,-122.444319,Pacific Heights,3,SingleFamily,1917,94115
3003 Jackson St,5,5,4275,6/11/2015,5627000,37.790947,-122.444677,Pacific Heights,11,SingleFamily,1891,94115
3007 Jackson St,4,6,3632,6/5/2015,6550000,37.790924,-122.444861,Pacific Heights,12,SingleFamily,1918,94115
3240 Sacramento St APT C,2.5,3,1948,6/4/2015,2100000,37.788538,-122.446369,Pacific Heights,6,Condominium,1990,94115
2578 California St,2,2,1578,5/29/2015,1425000,37.788819,-122.436764,Pacific Heights,7,Condominium,1900,94115
2785 Jackson St APT 5,3,3,1901,5/29/2015,2610000,37.791512,-122.440793,Pacific Heights,7,Condominium,1927,94115
3134 Jackson St,4.5,6,3564,5/22/2015,7050000,37.791186,-122.446794,Pacific Heights,13,SingleFamily,1922,94115
2121 Laguna St # 600,2,2,870,5/21/2015,1150000,37.79094,-122.42956,Pacific Heights,4,Condominium,1960,94115
3063 Washington St # 3,2,3,1939,4/28/2015,3210000,37.790139,-122.443636,Pacific Heights,6,Condominium,1890,94115
1904 Baker St,1.5,3,1865,4/14/2015,2660000,37.788809,-122.443689,Pacific Heights,5,SingleFamily,1900,94115
3178 Washington St,2,3,1875,4/10/2015,2150000,37.790395,-122.44564,Pacific Heights,8,Condominium,1908,94115
3090 Pacific Ave,6.5,6,4200,4/6/2015,7995000,37.792114,-122.446016,Pacific Heights,11,SingleFamily,1926,94115
2040 Laguna St APT 303,1,1,511,4/2/2015,641000,37.790126,-122.42872,Pacific Heights,3,Condominium,1981,94115
2801 Jackson St APT 301,1,1,1139,3/31/2015,1199000,37.791415,-122.441445,Pacific Heights,4,Condominium,1906,94115
3156-3160 Clay St,5.25,8,6325,3/31/2015,3600000,37.789601,-122.445129,Pacific Heights,28,MultiFamily2To4,1906,94115
2542 Fillmore St,4.5,5,4790,3/31/2015,5600000,37.793119,-122.434374,Pacific Heights,10,SingleFamily,1904,94115
3045 Jackson St APT 602,1,1,1089,3/27/2015,1260000,37.790847,-122.445155,Pacific Heights,4,Condominium,1929,94115
2838 Sacramento St,6,4,3709,3/27/2015,4975000,37.789387,-122.439706,Pacific Heights,10,SingleFamily,1900,94115
2266 Jackson St,2.5,3,1944,3/20/2015,2410000,37.792999,-122.432434,Pacific Heights,7,SingleFamily,1906,94115
2720 Pacific Ave,7,7,10236,3/13/2015,23889000,37.792931,-122.440693,Pacific Heights,28,SingleFamily,1900,94115
2235 Jackson St # 1,2,2,1657,3/5/2015,1700000,37.792583,-122.431831,Pacific Heights,6,Condominium,1926,94115
2519 Pierce St,4.5,5,4825,2/24/2015,7875000,37.793599,-122.438327,Pacific Heights,10,SingleFamily,1910,94115
2604 Pacific Ave,6.5,6,6520,2/24/2015,10995000,37.793132,-122.438552,Pacific Heights,14,SingleFamily,1900,94115
2807 Clay St,4.5,5,1502,2/23/2015,5995000,37.789762,-122.439519,Pacific Heights,7,SingleFamily,1900,94115
3041 Sacramento St,2.5,3,1341,2/20/2015,3750000,37.788417,-122.442947,Pacific Heights,5,Condominium,1925,94115
2051 Scott St APT 403,1,1,777,2/2/2015,830000,37.788896,-122.439168,Pacific Heights,4,Condominium,1915,94115
2785 Jackson St APT 4,3,3,1901,1/28/2015,2250000,37.791512,-122.440793,Pacific Heights,7,Condominium,1927,94115
2919 Pacific Ave APT 9,1,2,1125,1/23/2015,1465000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,94115
2025 Broderick St APT 6,1,1,677,1/21/2015,680000,37.789134,-122.442731,Pacific Heights,3,Condominium,1960,94115
2875 Jackson St APT 3,1,2,978,1/8/2015,1130000,37.791213,-122.442323,Pacific Heights,5,Condominium,1923,94115
2102 Baker St # 2102,1,2,1442,1/7/2015,1245000,37.79058,-122.444175,Pacific Heights,5,Condominium,1906,94115
2200 Pacific Ave APT 5B,1.5,1,1104,12/30/2014,885000,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,94115
2555 Webster St,7.5,7,8335,12/16/2014,6500000,37.794179,-122.433524,Pacific Heights,18,SingleFamily,1906,94115
3065 Clay St APT 102,1,1,947,12/2/2014,1020000,37.789271,-122.443394,Pacific Heights,4,Condominium,1927,94115
3141 Jackson St,1,3,1833,11/26/2014,1995000,37.791175,-122.446879,Pacific Heights,6,Condominium,1911,94115
2990 Jackson St APT 1,1,1,914,11/25/2014,890000,37.791477,-122.444202,Pacific Heights,4,Condominium,1924,94115
2418 Webster St,3.5,4,2853,11/21/2014,3350000,37.793394,-122.432768,Pacific Heights,8,SingleFamily,1900,94115
2200 Sacramento St APT 208,2,1,1000,11/19/2014,990000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
2200 Sacramento St APT 205,2,1,826,11/17/2014,805000,37.79068,-122.42951,Pacific Heights,3,Condominium,1964,94115
2200 Sacramento St APT 603,2,2,1130,11/5/2014,1255000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
2826 Sacramento St,2.5,4,2942,11/3/2014,3600000,37.789408,-122.439535,Pacific Heights,9,SingleFamily,1898,94115
2990 Clay St APT 4,2,2,1100,10/31/2014,1250000,37.789907,-122.442357,Pacific Heights,4,Condominium,1890,94115
2865 Jackson St APT 4,2,3,1870,10/29/2014,1975000,37.79123,-122.44219,Pacific Heights,6,Condominium,1923,94115
2515 Sacramento St,2,3,2555,10/29/2014,2525000,37.789453,-122.43484,Pacific Heights,6,Condominium,1890,94115
2255 Washington St,2.5,3,1800,10/24/2014,2400000,37.791832,-122.430321,Pacific Heights,10,Condominium,1947,94115
2970 Jackson St,4,4,2436,10/21/2014,2225000,37.791494,-122.444074,Pacific Heights,7,SingleFamily,1900,94115
2211 Broderick St APT 2,1,1,961,10/9/2014,941750,37.790974,-122.443058,Pacific Heights,5,Condominium,1915,94115
